memmber: TG-BOT#7599, said User <@261567735895425034> watch your language!memmber: they cant stop us all#7418, said Cuntmemmber: TG-BOT#7599, said User <@261567735895425034> watch your language!
memmber: they cant stop us all#7418, said Cunt
memmber: TG-BOT#7599, said User <@261567735895425034> watch your language!
memmber: they cant stop us all#7418, said Cunt
memmber: TG-BOT#7599, said User <@261567735895425034> watch your language!
memmber: they cant stop us all#7418, said Cunt
memmber: Crysis Wolfie#4911, said cunt
memmber: TG-BOT#7599, said User <@481520542512447498> watch your language!
memmber: Crysis Wolfie#4911, said Cunt
memmber: Crysis Wolfie#4911, said cunt
memmber: Crysis Wolfie#4911, said dont work if its lowercase c
memmber: they cant stop us all#7418, said I know
member: Crysis Wolfie#4911, said okie
member: they cant stop us all#7418, said !apply
member: they cant stop us all#7418, said cunt
member: TG-BOT#7599, said User <@261567735895425034> watch your language!
member: they cant stop us all#7418, said Cunt
member: they cant stop us all#7418, said cunt
member: TG-BOT#7599, said User <@261567735895425034> watch your language!
member: they cant stop us all#7418, said Cunt
member: they cant stop us all#7418, said !apply
member: they cant stop us all#7418, said cunt
member: TG-BOT#7599, said User <@261567735895425034> watch your language!
member: they cant stop us all#7418, said Cunt
member: they cant stop us all#7418, said .kcik <@!481520542512447498>
member: they cant stop us all#7418, said .kick <@!481520542512447498>
member: they cant stop us all#7418, said Stressing me out
member: TG-BOT#7599, said User <@261567735895425034> watch your language!
member: they cant stop us all#7418, said Cunt
member: Crysis Wolfie#4911, said haha
member: they cant stop us all#7418, said Also
member: they cant stop us all#7418, said I have managed to get it to log everything you put in general
member: they cant stop us all#7418, said gvggg
member: they cant stop us all#7418, said Cunt
member: they cant stop us all#7418, said Cunt
member: they cant stop us all#7418, said Cunt, at 1588354204.2390842
member: they cant stop us all#7418, said Cunt, at 1588357713.718099
member: they cant stop us all#7418, said cunt, at 1588426151.0545099
member: TG-BOT#7599, said User <@261567735895425034> watch your language!, at 1588426151.624512
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588426152.1070259
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588426152.6295264
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588426152.7845085
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588426156.768509
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588426156.9640284
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588426157.9840114
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588426158.2110095
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588426158.3935075
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588426162.9310114
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588426163.0725095
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588426163.2310066
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588426164.300544
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588426164.4485343
member: they cant stop us all#7418, said cunt, at 1588426626.366011
member: they cant stop us all#7418, said cunt, at 1588426626.917507
member: they cant stop us all#7418, said cunt, at 1588426627.4415274
member: they cant stop us all#7418, said cunt, at 1588426627.8795102
member: they cant stop us all#7418, said cunt, at 1588426694.3195066
member: they cant stop us all#7418, said cunt, at 1588426694.7895105
member: they cant stop us all#7418, said cunt, at 1588426695.2345097
